home_team,away_team,game_date,home_result
St. Louis Bombers,Detroit Falcons,26 December 1946,W
Philadelphia Warriors,Pittsburgh Ironmen,26 December 1946,W
Toronto Huskies,Chicago Stags,27 December 1946,L
Boston Celtics,Philadelphia Warriors,27 December 1946,L
Washington Capitols,New York Knicks,28 December 1946,W
Providence Steamrollers,Boston Celtics,28 December 1946,W
Detroit Falcons,Toronto Huskies,29 December 1946,L
St. Louis Bombers,Philadelphia Warriors,29 December 1946,W
Cleveland Rebels,Chicago Stags,29 December 1946,L
Pittsburgh Ironmen,Philadelphia Warriors,30 December 1946,L
Boston Celtics,Washington Capitols,30 December 1946,L
Cleveland Rebels,St. Louis Bombers,31 December 1946,L
Toronto Huskies,Chicago Stags,31 December 1946,W
Pittsburgh Ironmen,Cleveland Rebels,01 January 1947,L
Detroit Falcons,Washington Capitols,01 January 1947,W
Chicago Stags,St. Louis Bombers,01 January 1947,L
Philadelphia Warriors,Providence Steamrollers,02 January 1947,W
St. Louis Bombers,Washington Capitols,02 January 1947,W
Toronto Huskies,Boston Celtics,03 January 1947,L
Detroit Falcons,New York Knicks,04 January 1947,L
Washington Capitols,Cleveland Rebels,04 January 1947,W
Providence Steamrollers,Philadelphia Warriors,04 January 1947,W
St. Louis Bombers,New York Knicks,05 January 1947,L
Pittsburgh Ironmen,Washington Capitols,06 January 1947,L
Boston Celtics,Cleveland Rebels,06 January 1947,L
Toronto Huskies,Detroit Falcons,06 January 1947,W
Washington Capitols,Providence Steamrollers,08 January 1947,W
Pittsburgh Ironmen,Philadelphia Warriors,08 January 1947,W
New York Knicks,Toronto Huskies,08 January 1947,L
Detroit Falcons,Chicago Stags,08 January 1947,L
Philadelphia Warriors,Toronto Huskies,09 January 1947,W
Providence Steamrollers,Cleveland Rebels,09 January 1947,W
St. Louis Bombers,Chicago Stags,09 January 1947,W
Boston Celtics,New York Knicks,10 January 1947,W
Providence Steamrollers,Boston Celtics,11 January 1947,L
Washington Capitols,Toronto Huskies,11 January 1947,W
Detroit Falcons,Philadelphia Warriors,11 January 1947,W
Chicago Stags,Philadelphia Warriors,12 January 1947,W
St. Louis Bombers,Pittsburgh Ironmen,12 January 1947,W
Pittsburgh Ironmen,New York Knicks,13 January 1947,L
Toronto Huskies,Philadelphia Warriors,14 January 1947,L
Cleveland Rebels,Providence Steamrollers,14 January 1947,L
New York Knicks,Washington Capitols,15 January 1947,L
Detroit Falcons,Chicago Stags,15 January 1947,W
