home_team,away_team,game_date,home_result
Seattle SuperSonics,Chicago Bulls,16 January 1970,W
Philadelphia 76ers,San Francisco Warriors,16 January 1970,W
San Diego Rockets,Baltimore Bullets,17 January 1970,L
Phoenix Suns,Seattle SuperSonics,17 January 1970,L
Milwaukee Bucks,Chicago Bulls,17 January 1970,L
Boston Celtics,New York Knicks,18 January 1970,W
Phoenix Suns,Baltimore Bullets,18 January 1970,W
Detroit Pistons,Los Angeles Lakers,18 January 1970,W
Philadelphia 76ers,Cincinnati Royals,18 January 1970,W
Atlanta Hawks,Chicago Bulls,18 January 1970,W
Milwaukee Bucks,San Francisco Warriors,18 January 1970,W
Baltimore Bullets,Detroit Pistons,22 January 1970,W
Milwaukee Bucks,San Diego Rockets,22 January 1970,W
Cincinnati Royals,Boston Celtics,22 January 1970,W
Phoenix Suns,Seattle SuperSonics,22 January 1970,W
Los Angeles Lakers,San Francisco Warriors,22 January 1970,W
Phoenix Suns,San Francisco Warriors,23 January 1970,L
Los Angeles Lakers,Seattle SuperSonics,23 January 1970,W
Boston Celtics,Detroit Pistons,23 January 1970,L
Chicago Bulls,New York Knicks,23 January 1970,L
Philadelphia 76ers,Baltimore Bullets,23 January 1970,W
Seattle SuperSonics,Los Angeles Lakers,24 January 1970,L
Baltimore Bullets,Philadelphia 76ers,24 January 1970,W
New York Knicks,San Diego Rockets,24 January 1970,W
San Francisco Warriors,Phoenix Suns,24 January 1970,L
Milwaukee Bucks,Cincinnati Royals,24 January 1970,W
Detroit Pistons,Chicago Bulls,24 January 1970,W
Los Angeles Lakers,Phoenix Suns,25 January 1970,W
Cincinnati Royals,Baltimore Bullets,25 January 1970,W
Atlanta Hawks,Milwaukee Bucks,25 January 1970,L
Boston Celtics,New York Knicks,25 January 1970,L
Philadelphia 76ers,San Diego Rockets,25 January 1970,W
Chicago Bulls,Detroit Pistons,25 January 1970,W
Cincinnati Royals,Chicago Bulls,26 January 1970,W
San Francisco Warriors,Atlanta Hawks,26 January 1970,L
Milwaukee Bucks,Philadelphia 76ers,26 January 1970,L
New York Knicks,Boston Celtics,27 January 1970,W
Los Angeles Lakers,San Diego Rockets,27 January 1970,W
Cincinnati Royals,Milwaukee Bucks,28 January 1970,L
Seattle SuperSonics,Atlanta Hawks,28 January 1970,W
Boston Celtics,Philadelphia 76ers,28 January 1970,W
San Diego Rockets,Los Angeles Lakers,28 January 1970,L
Baltimore Bullets,Chicago Bulls,28 January 1970,W
New York Knicks,Detroit Pistons,29 January 1970,W
Seattle SuperSonics,San Francisco Warriors,29 January 1970,W
Phoenix Suns,Atlanta Hawks,29 January 1970,W
San Francisco Warriors,Phoenix Suns,30 January 1970,W
Detroit Pistons,Baltimore Bullets,30 January 1970,W
San Diego Rockets,Seattle SuperSonics,30 January 1970,W
Los Angeles Lakers,Atlanta Hawks,30 January 1970,W
Boston Celtics,Cincinnati Royals,30 January 1970,W
Philadelphia 76ers,New York Knicks,30 January 1970,L
Chicago Bulls,Milwaukee Bucks,30 January 1970,L
Phoenix Suns,Milwaukee Bucks,31 January 1970,L
Cincinnati Royals,Detroit Pistons,31 January 1970,W
Baltimore Bullets,Boston Celtics,31 January 1970,W
New York Knicks,Chicago Bulls,31 January 1970,W
Philadelphia 76ers,Los Angeles Lakers,01 February 1970,L
Seattle SuperSonics,Milwaukee Bucks,01 February 1970,W
Atlanta Hawks,Baltimore Bullets,01 February 1970,L
Detroit Pistons,New York Knicks,01 February 1970,L
San Diego Rockets,Phoenix Suns,01 February 1970,L
Boston Celtics,San Francisco Warriors,01 February 1970,L
Chicago Bulls,Cincinnati Royals,01 February 1970,W
Atlanta Hawks,Detroit Pistons,02 February 1970,W
New York Knicks,San Francisco Warriors,03 February 1970,W
Phoenix Suns,Philadelphia 76ers,03 February 1970,W
Boston Celtics,Chicago Bulls,03 February 1970,W
Baltimore Bullets,Seattle SuperSonics,03 February 1970,L
Cincinnati Royals,Los Angeles Lakers,03 February 1970,L
Atlanta Hawks,New York Knicks,04 February 1970,W
Detroit Pistons,Los Angeles Lakers,04 February 1970,W
Cincinnati Royals,Seattle SuperSonics,04 February 1970,L
San Diego Rockets,Milwaukee Bucks,04 February 1970,L
Chicago Bulls,San Francisco Warriors,05 February 1970,L
Baltimore Bullets,Detroit Pistons,06 February 1970,W
Los Angeles Lakers,Milwaukee Bucks,06 February 1970,L
Atlanta Hawks,Chicago Bulls,06 February 1970,W
Phoenix Suns,San Francisco Warriors,06 February 1970,W
Boston Celtics,Seattle SuperSonics,06 February 1970,W
Cincinnati Royals,New York Knicks,06 February 1970,L
San Diego Rockets,Philadelphia 76ers,06 February 1970,L
San Francisco Warriors,Philadelphia 76ers,07 February 1970,L
Detroit Pistons,Seattle SuperSonics,07 February 1970,W
Phoenix Suns,Los Angeles Lakers,07 February 1970,W
New York Knicks,Cincinnati Royals,07 February 1970,W
Boston Celtics,Cincinnati Royals,08 February 1970,W
Chicago Bulls,Atlanta Hawks,08 February 1970,W
Baltimore Bullets,Milwaukee Bucks,08 February 1970,W
Seattle SuperSonics,Philadelphia 76ers,08 February 1970,W
Los Angeles Lakers,San Diego Rockets,08 February 1970,W
Boston Celtics,Phoenix Suns,10 February 1970,L
Philadelphia 76ers,Milwaukee Bucks,10 February 1970,L
Detroit Pistons,Cincinnati Royals,10 February 1970,L
San Francisco Warriors,Atlanta Hawks,10 February 1970,W
Los Angeles Lakers,Baltimore Bullets,10 February 1970,L
San Diego Rockets,Atlanta Hawks,11 February 1970,L
New York Knicks,Boston Celtics,11 February 1970,L
San Francisco Warriors,Los Angeles Lakers,11 February 1970,L
Milwaukee Bucks,Phoenix Suns,11 February 1970,W
Seattle SuperSonics,Baltimore Bullets,11 February 1970,W
Cincinnati Royals,Detroit Pistons,11 February 1970,W
Los Angeles Lakers,Atlanta Hawks,12 February 1970,W
Chicago Bulls,Phoenix Suns,12 February 1970,W
Detroit Pistons,Phoenix Suns,13 February 1970,W
San Francisco Warriors,Cincinnati Royals,13 February 1970,L
Seattle SuperSonics,Baltimore Bullets,13 February 1970,W
Philadelphia 76ers,New York Knicks,13 February 1970,L
San Diego Rockets,San Francisco Warriors,14 February 1970,W
Milwaukee Bucks,Boston Celtics,14 February 1970,W
New York Knicks,Philadelphia 76ers,14 February 1970,W
Chicago Bulls,Los Angeles Lakers,14 February 1970,W
Milwaukee Bucks,Los Angeles Lakers,15 February 1970,L
San Diego Rockets,Cincinnati Royals,15 February 1970,W
Atlanta Hawks,Boston Celtics,15 February 1970,W
Philadelphia 76ers,Phoenix Suns,15 February 1970,W
Detroit Pistons,Chicago Bulls,15 February 1970,W
Boston Celtics,San Francisco Warriors,16 February 1970,W
Baltimore Bullets,San Diego Rockets,16 February 1970,W
Seattle SuperSonics,Phoenix Suns,17 February 1970,L
New York Knicks,Los Angeles Lakers,17 February 1970,W
San Diego Rockets,Seattle SuperSonics,18 February 1970,W
Phoenix Suns,Boston Celtics,18 February 1970,L
San Francisco Warriors,Milwaukee Bucks,18 February 1970,L
Atlanta Hawks,Cincinnati Royals,18 February 1970,W
Baltimore Bullets,Los Angeles Lakers,18 February 1970,W
Philadelphia 76ers,Detroit Pistons,19 February 1970,W
Los Angeles Lakers,Milwaukee Bucks,20 February 1970,W
Baltimore Bullets,Detroit Pistons,20 February 1970,L
Chicago Bulls,Philadelphia 76ers,20 February 1970,W
Phoenix Suns,San Diego Rockets,20 February 1970,W
Seattle SuperSonics,Boston Celtics,20 February 1970,L
New York Knicks,Atlanta Hawks,21 February 1970,L
San Diego Rockets,Los Angeles Lakers,21 February 1970,W
Milwaukee Bucks,Seattle SuperSonics,21 February 1970,W
Cincinnati Royals,Chicago Bulls,21 February 1970,W
San Francisco Warriors,Boston Celtics,21 February 1970,W
Detroit Pistons,Philadelphia 76ers,21 February 1970,L
Baltimore Bullets,New York Knicks,22 February 1970,W
Atlanta Hawks,Detroit Pistons,22 February 1970,L
Cincinnati Royals,Philadelphia 76ers,22 February 1970,W
Los Angeles Lakers,Boston Celtics,22 February 1970,W
Phoenix Suns,Milwaukee Bucks,22 February 1970,L
Seattle SuperSonics,San Francisco Warriors,22 February 1970,W
Chicago Bulls,San Diego Rockets,23 February 1970,W
Los Angeles Lakers,Atlanta Hawks,24 February 1970,L
Detroit Pistons,Milwaukee Bucks,24 February 1970,W
Seattle SuperSonics,San Francisco Warriors,24 February 1970,W
Baltimore Bullets,San Diego Rockets,24 February 1970,W
New York Knicks,Phoenix Suns,24 February 1970,W
San Francisco Warriors,Chicago Bulls,25 February 1970,L
Seattle SuperSonics,Atlanta Hawks,25 February 1970,W
Boston Celtics,San Diego Rockets,25 February 1970,W
Philadelphia 76ers,Detroit Pistons,25 February 1970,W
Milwaukee Bucks,Baltimore Bullets,25 February 1970,W
Detroit Pistons,Phoenix Suns,26 February 1970,L
Baltimore Bullets,Atlanta Hawks,27 February 1970,W
Los Angeles Lakers,Chicago Bulls,27 February 1970,W
Philadelphia 76ers,San Diego Rockets,27 February 1970,W
Boston Celtics,Phoenix Suns,27 February 1970,L
Milwaukee Bucks,Detroit Pistons,27 February 1970,W
San Francisco Warriors,Seattle SuperSonics,27 February 1970,L
New York Knicks,Baltimore Bullets,28 February 1970,W
Seattle SuperSonics,Chicago Bulls,28 February 1970,W
Milwaukee Bucks,Cincinnati Royals,01 March 1970,W
San Diego Rockets,Chicago Bulls,01 March 1970,W
Boston Celtics,Los Angeles Lakers,01 March 1970,L
Detroit Pistons,San Francisco Warriors,01 March 1970,W
Atlanta Hawks,Phoenix Suns,01 March 1970,L
Philadelphia 76ers,Baltimore Bullets,01 March 1970,W
Baltimore Bullets,Cincinnati Royals,02 March 1970,W
Seattle SuperSonics,San Diego Rockets,03 March 1970,W
Milwaukee Bucks,Philadelphia 76ers,03 March 1970,W
Phoenix Suns,Chicago Bulls,03 March 1970,L
Atlanta Hawks,Los Angeles Lakers,03 March 1970,W
New York Knicks,San Francisco Warriors,03 March 1970,W
Boston Celtics,San Francisco Warriors,04 March 1970,W
San Diego Rockets,Cincinnati Royals,04 March 1970,L
Baltimore Bullets,Los Angeles Lakers,04 March 1970,L
Milwaukee Bucks,Atlanta Hawks,05 March 1970,L
Los Angeles Lakers,Baltimore Bullets,06 March 1970,L
San Francisco Warriors,Phoenix Suns,06 March 1970,W
Philadelphia 76ers,Boston Celtics,06 March 1970,W
Detroit Pistons,Milwaukee Bucks,06 March 1970,L
Seattle SuperSonics,Cincinnati Royals,06 March 1970,W
New York Knicks,San Diego Rockets,06 March 1970,W
Philadelphia 76ers,New York Knicks,07 March 1970,L
Detroit Pistons,San Diego Rockets,07 March 1970,W
San Francisco Warriors,Cincinnati Royals,07 March 1970,L
New York Knicks,Philadelphia 76ers,08 March 1970,L
Seattle SuperSonics,Baltimore Bullets,08 March 1970,L
Phoenix Suns,Atlanta Hawks,08 March 1970,W
Los Angeles Lakers,Cincinnati Royals,08 March 1970,W
Boston Celtics,Milwaukee Bucks,08 March 1970,L
Milwaukee Bucks,Seattle SuperSonics,09 March 1970,W
Philadelphia 76ers,San Diego Rockets,09 March 1970,W
Chicago Bulls,San Diego Rockets,10 March 1970,W
Atlanta Hawks,Milwaukee Bucks,10 March 1970,W
Detroit Pistons,Boston Celtics,10 March 1970,W
New York Knicks,Seattle SuperSonics,10 March 1970,W
Los Angeles Lakers,San Francisco Warriors,10 March 1970,W
San Francisco Warriors,Baltimore Bullets,11 March 1970,W
Atlanta Hawks,San Diego Rockets,11 March 1970,W
Cincinnati Royals,Boston Celtics,11 March 1970,L
Cincinnati Royals,San Diego Rockets,12 March 1970,W
Seattle SuperSonics,New York Knicks,13 March 1970,W
Chicago Bulls,Boston Celtics,13 March 1970,W
San Francisco Warriors,Baltimore Bullets,13 March 1970,L
Los Angeles Lakers,Philadelphia 76ers,13 March 1970,W
Chicago Bulls,Detroit Pistons,14 March 1970,W
San Diego Rockets,New York Knicks,14 March 1970,L
Los Angeles Lakers,New York Knicks,15 March 1970,W
Atlanta Hawks,Phoenix Suns,15 March 1970,W
Cincinnati Royals,Seattle SuperSonics,15 March 1970,W
Milwaukee Bucks,Chicago Bulls,15 March 1970,L
Boston Celtics,Baltimore Bullets,15 March 1970,L
San Diego Rockets,Philadelphia 76ers,15 March 1970,W
Chicago Bulls,Cincinnati Royals,16 March 1970,W
Detroit Pistons,New York Knicks,17 March 1970,L
Philadelphia 76ers,Atlanta Hawks,17 March 1970,L
San Diego Rockets,Boston Celtics,17 March 1970,W
Chicago Bulls,Seattle SuperSonics,17 March 1970,L
Phoenix Suns,San Francisco Warriors,17 March 1970,W
Baltimore Bullets,Philadelphia 76ers,18 March 1970,L
New York Knicks,Milwaukee Bucks,18 March 1970,L
Los Angeles Lakers,Boston Celtics,18 March 1970,L
San Diego Rockets,Detroit Pistons,19 March 1970,W
Phoenix Suns,Boston Celtics,19 March 1970,W
Phoenix Suns,San Diego Rockets,20 March 1970,W
Atlanta Hawks,New York Knicks,20 March 1970,W
Chicago Bulls,Baltimore Bullets,20 March 1970,L
Cincinnati Royals,San Francisco Warriors,20 March 1970,L
Philadelphia 76ers,Milwaukee Bucks,20 March 1970,L
Los Angeles Lakers,Detroit Pistons,20 March 1970,W
Boston Celtics,Seattle SuperSonics,20 March 1970,L
Baltimore Bullets,San Francisco Warriors,21 March 1970,W
New York Knicks,Cincinnati Royals,21 March 1970,L
Philadelphia 76ers,San Francisco Warriors,22 March 1970,W
Los Angeles Lakers,Seattle SuperSonics,22 March 1970,W
Chicago Bulls,Milwaukee Bucks,22 March 1970,W
Detroit Pistons,Atlanta Hawks,22 March 1970,L
San Diego Rockets,Phoenix Suns,22 March 1970,L
Boston Celtics,New York Knicks,22 March 1970,W
Los Angeles Lakers,Phoenix Suns,25 March 1970,W
Atlanta Hawks,Chicago Bulls,25 March 1970,W
Milwaukee Bucks,Philadelphia 76ers,25 March 1970,W
New York Knicks,Baltimore Bullets,26 March 1970,W
Baltimore Bullets,New York Knicks,27 March 1970,L
Milwaukee Bucks,Philadelphia 76ers,27 March 1970,L
Atlanta Hawks,Chicago Bulls,28 March 1970,W
New York Knicks,Baltimore Bullets,29 March 1970,L
Los Angeles Lakers,Phoenix Suns,29 March 1970,L
Philadelphia 76ers,Milwaukee Bucks,30 March 1970,L
Chicago Bulls,Atlanta Hawks,31 March 1970,L
Baltimore Bullets,New York Knicks,31 March 1970,W
Philadelphia 76ers,Milwaukee Bucks,01 April 1970,L
Phoenix Suns,Los Angeles Lakers,02 April 1970,W
New York Knicks,Baltimore Bullets,02 April 1970,W
Milwaukee Bucks,Philadelphia 76ers,03 April 1970,W
Chicago Bulls,Atlanta Hawks,03 April 1970,W
Phoenix Suns,Los Angeles Lakers,04 April 1970,W
Los Angeles Lakers,Phoenix Suns,05 April 1970,W
Atlanta Hawks,Chicago Bulls,05 April 1970,W
Baltimore Bullets,New York Knicks,05 April 1970,W
New York Knicks,Baltimore Bullets,06 April 1970,W
Phoenix Suns,Los Angeles Lakers,07 April 1970,L
Los Angeles Lakers,Phoenix Suns,09 April 1970,W
New York Knicks,Milwaukee Bucks,11 April 1970,W
Atlanta Hawks,Los Angeles Lakers,12 April 1970,L
New York Knicks,Milwaukee Bucks,13 April 1970,W
Atlanta Hawks,Los Angeles Lakers,14 April 1970,L
Los Angeles Lakers,Atlanta Hawks,17 April 1970,W
Milwaukee Bucks,New York Knicks,17 April 1970,W
Milwaukee Bucks,New York Knicks,19 April 1970,L
Los Angeles Lakers,Atlanta Hawks,19 April 1970,W
New York Knicks,Milwaukee Bucks,20 April 1970,W
New York Knicks,Los Angeles Lakers,24 April 1970,W
New York Knicks,Los Angeles Lakers,27 April 1970,L
Los Angeles Lakers,New York Knicks,29 April 1970,L
Los Angeles Lakers,New York Knicks,01 May 1970,W
New York Knicks,Los Angeles Lakers,04 May 1970,W
Los Angeles Lakers,New York Knicks,06 May 1970,W
New York Knicks,Los Angeles Lakers,08 May 1970,W
East NBA All Stars East,West NBA All Stars West,20 January 1970,W
East NBA All Stars East,West NBA All Stars West,20 January 1970,W
Los Angeles Lakers,Chicago Bulls,24 March 1971,W
Baltimore Bullets,Philadelphia 76ers,24 March 1971,L
New York Knicks,Atlanta Hawks,25 March 1971,W
Los Angeles Lakers,Chicago Bulls,26 March 1971,W
Philadelphia 76ers,Baltimore Bullets,26 March 1971,L
San Francisco Warriors,Milwaukee Bucks,27 March 1971,L
New York Knicks,Atlanta Hawks,27 March 1971,L
Chicago Bulls,Los Angeles Lakers,28 March 1971,W
Atlanta Hawks,New York Knicks,28 March 1971,L
Baltimore Bullets,Philadelphia 76ers,28 March 1971,W
Milwaukee Bucks,San Francisco Warriors,29 March 1971,W
Chicago Bulls,Los Angeles Lakers,30 March 1971,W
Atlanta Hawks,New York Knicks,30 March 1971,L
Philadelphia 76ers,Baltimore Bullets,30 March 1971,L
Milwaukee Bucks,San Francisco Warriors,30 March 1971,W
Los Angeles Lakers,Chicago Bulls,01 April 1971,W
Baltimore Bullets,Philadelphia 76ers,01 April 1971,L
San Francisco Warriors,Milwaukee Bucks,01 April 1971,W
New York Knicks,Atlanta Hawks,01 April 1971,W
Philadelphia 76ers,Baltimore Bullets,03 April 1971,W
Chicago Bulls,Los Angeles Lakers,04 April 1971,W
Milwaukee Bucks,San Francisco Warriors,04 April 1971,W
Baltimore Bullets,Philadelphia 76ers,04 April 1971,W
New York Knicks,Baltimore Bullets,06 April 1971,W
Los Angeles Lakers,Chicago Bulls,06 April 1971,W
Milwaukee Bucks,Los Angeles Lakers,09 April 1971,W
New York Knicks,Baltimore Bullets,09 April 1971,W
Milwaukee Bucks,Los Angeles Lakers,11 April 1971,W
Baltimore Bullets,New York Knicks,11 April 1971,W
Baltimore Bullets,New York Knicks,14 April 1971,W
Los Angeles Lakers,Milwaukee Bucks,14 April 1971,W
New York Knicks,Baltimore Bullets,16 April 1971,W
Los Angeles Lakers,Milwaukee Bucks,16 April 1971,L
Milwaukee Bucks,Los Angeles Lakers,18 April 1971,W
Baltimore Bullets,New York Knicks,18 April 1971,W
New York Knicks,Baltimore Bullets,19 April 1971,L
Milwaukee Bucks,Baltimore Bullets,21 April 1971,W
Baltimore Bullets,Milwaukee Bucks,25 April 1971,L
Milwaukee Bucks,Baltimore Bullets,28 April 1971,W
Baltimore Bullets,Milwaukee Bucks,30 April 1971,L
East NBA All Stars East,West NBA All Stars West,12 January 1971,L
East NBA All Stars East,West NBA All Stars West,12 January 1971,L
New York Knicks,Detroit Pistons,12 October 1971,L
Chicago Bulls,Philadelphia 76ers,12 October 1971,L
Cincinnati Royals,Atlanta Hawks,12 October 1971,W
Buffalo Braves,Seattle SuperSonics,12 October 1971,L
Houston Rockets,Philadelphia 76ers,14 October 1971,L
Phoenix Suns,Milwaukee Bucks,14 October 1971,L
Boston Celtics,Golden State Warriors,15 October 1971,L
Detroit Pistons,Los Angeles Lakers,15 October 1971,L
Portland Trail Blazers,Seattle SuperSonics,15 October 1971,L
Chicago Bulls,Baltimore Bullets,15 October 1971,W
Cleveland Cavaliers,Buffalo Braves,15 October 1971,L
Baltimore Bullets,Golden State Warriors,16 October 1971,W
Phoenix Suns,Houston Rockets,16 October 1971,W
Seattle SuperSonics,Milwaukee Bucks,16 October 1971,L
Atlanta Hawks,Philadelphia 76ers,16 October 1971,L
Buffalo Braves,Cleveland Cavaliers,16 October 1971,L
New York Knicks,Los Angeles Lakers,16 October 1971,L
Cleveland Cavaliers,New York Knicks,17 October 1971,L
Portland Trail Blazers,Milwaukee Bucks,17 October 1971,L
Houston Rockets,Detroit Pistons,17 October 1971,L
Portland Trail Blazers,Detroit Pistons,19 October 1971,L
Cincinnati Royals,Seattle SuperSonics,19 October 1971,L
Milwaukee Bucks,Cleveland Cavaliers,19 October 1971,W
Buffalo Braves,Los Angeles Lakers,19 October 1971,L
Boston Celtics,Baltimore Bullets,19 October 1971,W
New York Knicks,Golden State Warriors,19 October 1971,W
Houston Rockets,Chicago Bulls,20 October 1971,L
Cleveland Cavaliers,Golden State Warriors,20 October 1971,L
Philadelphia 76ers,Seattle SuperSonics,20 October 1971,W
Atlanta Hawks,Los Angeles Lakers,20 October 1971,L
Phoenix Suns,Detroit Pistons,22 October 1971,L
Baltimore Bullets,New York Knicks,22 October 1971,L
Los Angeles Lakers,Chicago Bulls,22 October 1971,L
Atlanta Hawks,Boston Celtics,22 October 1971,L
Milwaukee Bucks,Buffalo Braves,22 October 1971,W
Seattle SuperSonics,Houston Rockets,22 October 1971,W
Golden State Warriors,Detroit Pistons,23 October 1971,W
Philadelphia 76ers,Milwaukee Bucks,23 October 1971,L
Baltimore Bullets,Cleveland Cavaliers,23 October 1971,L
Portland Trail Blazers,Cincinnati Royals,23 October 1971,W
Buffalo Braves,Boston Celtics,23 October 1971,L
New York Knicks,Atlanta Hawks,23 October 1971,L
Cleveland Cavaliers,Philadelphia 76ers,24 October 1971,L
Phoenix Suns,Chicago Bulls,24 October 1971,L
Houston Rockets,Los Angeles Lakers,24 October 1971,L
Seattle SuperSonics,Cincinnati Royals,24 October 1971,W
Boston Celtics,Atlanta Hawks,25 October 1971,W
Golden State Warriors,Buffalo Braves,26 October 1971,L
Portland Trail Blazers,Chicago Bulls,26 October 1971,L
Milwaukee Bucks,Baltimore Bullets,26 October 1971,W
Detroit Pistons,Houston Rockets,26 October 1971,L
Phoenix Suns,Cincinnati Royals,26 October 1971,W
New York Knicks,Boston Celtics,26 October 1971,W
Atlanta Hawks,New York Knicks,27 October 1971,W
Baltimore Bullets,Detroit Pistons,27 October 1971,W
Boston Celtics,Houston Rockets,27 October 1971,W
Philadelphia 76ers,Cleveland Cavaliers,27 October 1971,W
New York Knicks,Houston Rockets,28 October 1971,W
Seattle SuperSonics,Buffalo Braves,28 October 1971,W
Philadelphia 76ers,Phoenix Suns,29 October 1971,L
Cleveland Cavaliers,Atlanta Hawks,29 October 1971,L
Los Angeles Lakers,Cincinnati Royals,29 October 1971,W
Golden State Warriors,Chicago Bulls,29 October 1971,W
Boston Celtics,Milwaukee Bucks,29 October 1971,W
Detroit Pistons,Baltimore Bullets,29 October 1971,W
Portland Trail Blazers,Buffalo Braves,29 October 1971,L
Atlanta Hawks,Detroit Pistons,30 October 1971,L
Baltimore Bullets,Phoenix Suns,30 October 1971,W
Seattle SuperSonics,Los Angeles Lakers,30 October 1971,W
New York Knicks,Philadelphia 76ers,30 October 1971,L
Golden State Warriors,Cincinnati Royals,30 October 1971,W
Houston Rockets,Buffalo Braves,31 October 1971,W
Los Angeles Lakers,Golden State Warriors,31 October 1971,L
Cleveland Cavaliers,Milwaukee Bucks,31 October 1971,L
Golden State Warriors,Baltimore Bullets,02 November 1971,W
Chicago Bulls,Phoenix Suns,02 November 1971,W
Atlanta Hawks,Chicago Bulls,03 November 1971,L
Cincinnati Royals,Philadelphia 76ers,03 November 1971,W
Buffalo Braves,Phoenix Suns,03 November 1971,L
Houston Rockets,New York Knicks,03 November 1971,L
Houston Rockets,Portland Trail Blazers,04 November 1971,L
Golden State Warriors,Seattle SuperSonics,04 November 1971,W
Cleveland Cavaliers,Phoenix Suns,05 November 1971,L
Seattle SuperSonics,New York Knicks,05 November 1971,W
Chicago Bulls,Milwaukee Bucks,05 November 1971,L
Atlanta Hawks,Buffalo Braves,05 November 1971,L
Boston Celtics,Detroit Pistons,05 November 1971,W
Los Angeles Lakers,Baltimore Bullets,05 November 1971,W
Milwaukee Bucks,Detroit Pistons,06 November 1971,W
Cincinnati Royals,Phoenix Suns,06 November 1971,W
Philadelphia 76ers,Atlanta Hawks,06 November 1971,W
Boston Celtics,Portland Trail Blazers,06 November 1971,W
Buffalo Braves,Chicago Bulls,06 November 1971,W
Golden State Warriors,Los Angeles Lakers,06 November 1971,L
Cleveland Cavaliers,Portland Trail Blazers,07 November 1971,W
Houston Rockets,Baltimore Bullets,07 November 1971,L
Los Angeles Lakers,New York Knicks,07 November 1971,W
Seattle SuperSonics,Golden State Warriors,07 November 1971,L
Boston Celtics,Cincinnati Royals,08 November 1971,W
Golden State Warriors,Houston Rockets,09 November 1971,W
Chicago Bulls,Los Angeles Lakers,09 November 1971,L
Buffalo Braves,Portland Trail Blazers,09 November 1971,W
Milwaukee Bucks,Phoenix Suns,09 November 1971,W
Philadelphia 76ers,Los Angeles Lakers,10 November 1971,L
Detroit Pistons,Portland Trail Blazers,10 November 1971,W
Atlanta Hawks,Milwaukee Bucks,10 November 1971,L
Baltimore Bullets,Chicago Bulls,10 November 1971,L
Cincinnati Royals,New York Knicks,10 November 1971,W
Houston Rockets,Boston Celtics,10 November 1971,L
New York Knicks,Golden State Warriors,11 November 1971,L
Seattle SuperSonics,Cleveland Cavaliers,11 November 1971,W
Milwaukee Bucks,Houston Rockets,12 November 1971,W
Atlanta Hawks,Golden State Warriors,12 November 1971,W
Portland Trail Blazers,Cleveland Cavaliers,12 November 1971,L
Los Angeles Lakers,Seattle SuperSonics,12 November 1971,W
Philadelphia 76ers,Detroit Pistons,12 November 1971,W
Phoenix Suns,Boston Celtics,12 November 1971,W
Portland Trail Blazers,Los Angeles Lakers,13 November 1971,L
Seattle SuperSonics,Boston Celtics,13 November 1971,W
New York Knicks,Detroit Pistons,13 November 1971,W
Baltimore Bullets,Philadelphia 76ers,13 November 1971,W
Cincinnati Royals,Golden State Warriors,13 November 1971,W
Buffalo Braves,Milwaukee Bucks,13 November 1971,L
Chicago Bulls,Houston Rockets,13 November 1971,W
Los Angeles Lakers,Boston Celtics,14 November 1971,W
Milwaukee Bucks,Philadelphia 76ers,14 November 1971,W
Phoenix Suns,Cleveland Cavaliers,14 November 1971,W
Los Angeles Lakers,Cleveland Cavaliers,16 November 1971,W
Buffalo Braves,Cincinnati Royals,16 November 1971,W
New York Knicks,Phoenix Suns,16 November 1971,W
Chicago Bulls,Seattle SuperSonics,16 November 1971,W
Baltimore Bullets,Houston Rockets,16 November 1971,W
Detroit Pistons,Golden State Warriors,16 November 1971,L
Portland Trail Blazers,Milwaukee Bucks,16 November 1971,L
Philadelphia 76ers,Houston Rockets,17 November 1971,L
Cincinnati Royals,Baltimore Bullets,17 November 1971,L
Boston Celtics,Phoenix Suns,17 November 1971,W
Atlanta Hawks,Seattle SuperSonics,17 November 1971,L
Detroit Pistons,Phoenix Suns,18 November 1971,W
Golden State Warriors,Portland Trail Blazers,18 November 1971,W
Boston Celtics,Cincinnati Royals,19 November 1971,L
Baltimore Bullets,Buffalo Braves,19 November 1971,W
Philadelphia 76ers,Chicago Bulls,19 November 1971,L
Seattle SuperSonics,Milwaukee Bucks,19 November 1971,L
Portland Trail Blazers,Cleveland Cavaliers,19 November 1971,W
Los Angeles Lakers,Houston Rockets,19 November 1971,W
Golden State Warriors,Milwaukee Bucks,20 November 1971,W
Portland Trail Blazers,Seattle SuperSonics,20 November 1971,L
Atlanta Hawks,Phoenix Suns,20 November 1971,W
Chicago Bulls,Boston Celtics,20 November 1971,W
Buffalo Braves,Detroit Pistons,20 November 1971,L
New York Knicks,Baltimore Bullets,20 November 1971,W
Seattle SuperSonics,Philadelphia 76ers,21 November 1971,W
Los Angeles Lakers,Milwaukee Bucks,21 November 1971,W
Golden State Warriors,Houston Rockets,21 November 1971,L
Cleveland Cavaliers,Boston Celtics,21 November 1971,L
New York Knicks,Cincinnati Royals,23 November 1971,W
Detroit Pistons,Milwaukee Bucks,23 November 1971,L
Chicago Bulls,Portland Trail Blazers,23 November 1971,W
Phoenix Suns,Philadelphia 76ers,23 November 1971,W
Cleveland Cavaliers,Baltimore Bullets,23 November 1971,W
Buffalo Braves,Atlanta Hawks,23 November 1971,W
Baltimore Bullets,New York Knicks,24 November 1971,L
Houston Rockets,Philadelphia 76ers,24 November 1971,W
Boston Celtics,Buffalo Braves,24 November 1971,W
Milwaukee Bucks,Atlanta Hawks,24 November 1971,W
